conc,ch1
680.5,1.681875114979315
681.5,1.6818757954670516
682.5,1.6818764725757696
683.5,1.6818771463271598
684.5,1.6818778167427422
685.5,1.6818784838438676
686.5,1.6818791476517199
687.5,1.681879808187316
688.5,1.6818804654715096
689.5,1.6818811195249905
690.5,1.6818817703682876
691.5,1.6818824180217697
692.5,1.6818830625056476
693.5,1.6818837038399743
694.5,1.6818843420446483
695.5,1.6818849771394133
696.5,1.6818856091438603
697.5,1.6818862380774295
698.5,1.681886863959411
699.5,1.681887486808946
700.5,1.681888106645029
701.5,1.6818887234865085
702.5,1.6818893373520885
703.5,1.6818899482603296
704.5,1.6818905562296507
705.5,1.68189116127833
706.5,1.6818917634245067
707.5,1.6818923626861813
708.5,1.6818929590812177
709.5,1.6818935526273444
710.5,1.6818941433421553
711.5,1.6818947312431112
712.5,1.6818953163475405
713.5,1.6818958986726416
714.5,1.6818964782354822
715.5,1.6818970550530026
716.5,1.6818976291420151
717.5,1.6818982005192058
718.5,1.6818987692011358
719.5,1.6818993352042424
720.5,1.68189989854484
721.5,1.6819004592391205
722.5,1.6819010173031563
723.5,1.681901572752899
724.5,1.6819021256041824
725.5,1.6819026758727225
726.5,1.6819032235741185
727.5,1.6819037687238543
728.5,1.6819043113372993
729.5,1.6819048514297097
730.5,1.6819053890162288
731.5,1.6819059241118886
732.5,1.6819064567316102
733.5,1.681906986890206
734.5,1.6819075146023785
735.5,1.6819080398827237
736.5,1.6819085627457304
737.5,1.6819090832057813
738.5,1.6819096012771544
739.5,1.6819101169740238
740.5,1.6819106303104605
741.5,1.6819111413004333
742.5,1.6819116499578093
743.5,1.6819121562963555
744.5,1.6819126603297392
745.5,1.6819131620715289
746.5,1.6819136615351953
747.5,1.6819141587341118
748.5,1.681914653681556
749.5,1.6819151463907092
750.5,1.6819156368746593
751.5,1.6819161251463994
752.5,1.68191661121883
753.5,1.6819170951047595
754.5,1.6819175768169043
755.5,1.6819180563678908
756.5,1.681918533770255
757.5,1.681919009036444
758.5,1.6819194821788166
759.5,1.6819199532096434
760.5,1.6819204221411088
761.5,1.6819208889853108
762.5,1.6819213537542614
763.5,1.6819218164598884
764.5,1.6819222771140356
765.5,1.681922735728463
766.5,1.6819231923148483
767.5,1.6819236468847873
768.5,1.6819240994497942
769.5,1.6819245500213027
770.5,1.6819249986106668
771.5,1.6819254452291608
772.5,1.681925889887981
773.5,1.681926332598245
774.5,1.6819267733709935
775.5,1.6819272122171904
776.5,1.6819276491477237
777.5,1.6819280841734057
778.5,1.681928517304974
779.5,1.681928948553092
780.5,1.6819293779283495
781.5,1.6819298054412635
782.5,1.681930231102278
783.5,1.6819306549217659
784.5,1.6819310769100282
785.5,1.681931497077296
786.5,1.6819319154337298
787.5,1.6819323319894206
788.5,1.6819327467543905
789.5,1.6819331597385938
790.5,1.6819335709519159
791.5,1.6819339804041757
792.5,1.681934388105125
793.5,1.6819347940644498
794.5,1.6819351982917699
795.5,1.6819356007966402
796.5,1.681936001588551
797.5,1.6819364006769284
798.5,1.6819367980711353
799.5,1.6819371937804708
800.5,1.6819375878141718
801.5,1.6819379801814134
802.5,1.6819383708913085
803.5,1.6819387599529094
804.5,1.6819391473752077
805.5,1.6819395331671343
806.5,1.6819399173375613
807.5,1.6819402998953012
808.5,1.6819406808491077
809.5,1.6819410602076765
810.5,1.681941437979645
811.5,1.6819418141735938
812.5,1.6819421887980461
813.5,1.6819425618614696
814.5,1.6819429333722746
815.5,1.6819433033388171
816.5,1.6819436717693974
817.5,1.6819440386722608
818.5,1.681944404055599
819.5,1.6819447679275494
820.5,1.6819451302961963
821.5,1.6819454911695704
822.5,1.6819458505556504
823.5,1.6819462084623624
824.5,1.6819465648975813
825.5,1.6819469198691297
826.5,1.68194727338478
827.5,1.6819476254522536
828.5,1.6819479760792218
829.5,1.681948325273306
830.5,1.6819486730420785
831.5,1.6819490193930617
832.5,1.6819493643337304
833.5,1.6819497078715104
834.5,1.6819500500137796
835.5,1.6819503907678686
836.5,1.6819507301410606
837.5,1.6819510681405918
838.5,1.6819514047736523
839.5,1.6819517400473858
840.5,1.6819520739688902
841.5,1.681952406545218
842.5,1.6819527377833767
843.5,1.681953067690329
844.5,1.6819533962729927
845.5,1.6819537235382425
846.5,1.6819540494929084
847.5,1.6819543741437775
848.5,1.6819546974975936
849.5,1.681955019561058
850.5,1.6819553403408292
851.5,1.681955659843524
852.5,1.6819559780757165
853.5,1.6819562950439404
854.5,1.6819566107546877
855.5,1.6819569252144095
856.5,1.681957238429516
857.5,1.681957550406378
858.5,1.6819578611513255
859.5,1.681958170670649
860.5,1.6819584789706
861.5,1.6819587860573904
862.5,1.6819590919371936
863.5,1.6819593966161444
864.5,1.6819597001003392
865.5,1.6819600023958372
866.5,1.6819603035086588
867.5,1.6819606034447876
868.5,1.68196090221017
869.5,1.681961199810716
870.5,1.6819614962522982
871.5,1.6819617915407534
872.5,1.6819620856818824
873.5,1.68196237868145
874.5,1.6819626705451853
875.5,1.6819629612787825
876.5,1.6819632508879012
877.5,1.6819635393781651
878.5,1.6819638267551644
879.5,1.6819641130244547
880.5,1.6819643981915575
881.5,1.6819646822619607
882.5,1.6819649652411186
883.5,1.6819652471344524
884.5,1.6819655279473502
885.5,1.6819658076851673
886.5,1.6819660863532264
887.5,1.6819663639568179
888.5,1.6819666405012001
889.5,1.6819669159915998
890.5,1.6819671904332114
891.5,1.6819674638311986
892.5,1.6819677361906937
893.5,1.6819680075167982
894.5,1.6819682778145826
895.5,1.6819685470890868
896.5,1.6819688153453212
897.5,1.681969082588265
898.5,1.6819693488228682
899.5,1.6819696140540512
900.5,1.6819698782867047
901.5,1.6819701415256905
902.5,1.6819704037758407
903.5,1.6819706650419592
904.5,1.6819709253288213
905.5,1.6819711846411736
906.5,1.6819714429837345
907.5,1.6819717003611945
908.5,1.681971956778216
909.5,1.6819722122394347
910.5,1.6819724667494576
911.5,1.6819727203128652
912.5,1.6819729729342108
913.5,1.6819732246180208
914.5,1.6819734753687952
915.5,1.6819737251910072
916.5,1.6819739740891038
917.5,1.6819742220675058
918.5,1.6819744691306082
919.5,1.6819747152827804
920.5,1.6819749605283658
921.5,1.6819752048716825
922.5,1.6819754483170237
923.5,1.6819756908686576
924.5,1.6819759325308268
925.5,1.6819761733077498
926.5,1.6819764132036208
927.5,1.6819766522226087
928.5,1.6819768903688592
929.5,1.6819771276464937
930.5,1.681977364059609
931.5,1.6819775996122794
932.5,1.6819778343085545
933.5,1.6819780681524616
934.5,1.6819783011480038
935.5,1.681978533299162
936.5,1.6819787646098934
937.5,1.6819789950841333
938.5,1.6819792247257934
939.5,1.6819794535387638
940.5,1.6819796815269121
941.5,1.6819799086940836
942.5,1.681980135044102
943.5,1.6819803605807682
944.5,1.6819805853078627
945.5,1.6819808092291435
946.5,1.681981032348348
947.5,1.6819812546691912
948.5,1.6819814761953682
949.5,1.6819816969305526
950.5,1.681981916878397
951.5,1.6819821360425335
952.5,1.681982354426574
953.5,1.6819825720341093
954.5,1.6819827888687102
955.5,1.681983004933928
956.5,1.6819832202332927
957.5,1.6819834347703158
958.5,1.681983648548488
959.5,1.6819838615712812
960.5,1.6819840738421472
961.5,1.6819842853645186
962.5,1.6819844961418091
963.5,1.6819847061774131
964.5,1.6819849154747062
965.5,1.6819851240370445
966.5,1.6819853318677662
967.5,1.6819855389701905
968.5,1.6819857453476184
969.5,1.6819859510033321
970.5,1.6819861559405962
971.5,1.6819863601626563
972.5,1.6819865636727414
973.5,1.6819867664740609
974.5,1.681986968569808
975.5,1.681987169963157
976.5,1.681987370657266
977.5,1.6819875706552743
978.5,1.681987769960305
979.5,1.6819879685754633
980.5,1.681988166503838
981.5,1.6819883637485005
982.5,1.6819885603125053
983.5,1.6819887561988904
984.5,1.681988951410677
985.5,1.68198914595087
986.5,1.6819893398224575
987.5,1.6819895330284116
988.5,1.6819897255716885
989.5,1.6819899174552273
990.5,1.6819901086819524
991.5,1.6819902992547713
992.5,1.681990489176576
993.5,1.681990678450243
994.5,1.681990867078633
995.5,1.6819910550645916
996.5,1.6819912424109484
997.5,1.681991429120518
998.5,1.6819916151961003
999.5,1.6819918006404793
1000.5,1.6819919854564243
1001.5,1.6819921696466897
1002.5,1.6819923532140155
1003.5,1.6819925361611265
1004.5,1.6819927184907328
1005.5,1.6819929002055305
1006.5,1.681993081308201
1007.5,1.6819932618014108
1008.5,1.681993441687813
1009.5,1.6819936209700463
1010.5,1.6819937996507353
1011.5,1.6819939777324904
1012.5,1.681994155217908
1013.5,1.6819943321095716
1014.5,1.6819945084100498
1015.5,1.6819946841218982
